# Synonym groups for interactive-fiction verbs.  GENERATED; do not hand-edit.
#
# Regenerate with `verb-synonyms-gen` — see crates/verb-synonyms-gen/README.md.
# Derived from WordNet 3.0 (Princeton University) and the 12dicts 6.0.2
# lemmatized frequency list (Alan Beale, under the AGID terms).  The notices
# both licences require are in THIRD-PARTY-NOTICES.md at the repository root.
#
# FORMAT: one group per line, members separated by TABS.  There is no key
# column — every member is equal, and a word may appear in SEVERAL groups, one
# per sense.  A tab is the separator because a member may itself contain a
# space (`turn on`), and no dictionary word contains a tab.
#
# A group is one WordNet synset, filtered to words a player might type, plus —
# where a synset no story could match has a hypernym that one can — that synset
# unioned with its immediate hypernym.  Exactly one hop, never chained.
#
# AT LOOKUP, two rules define what this data means:
#   1. Lemmatise the player's word FIRST.  Members are base forms, because an IF
#      parser accepts the imperative; `illuminated` never arrives here, and if
#      the consumer skips this step a miss looks like a hole in the data instead
#      of a missing step in the caller.
#   2. Intersect the group with THIS story's dictionary and show only what
#      survives, then drop the word the player actually typed — it is in the
#      group by construction and it is the one word known to have failed.
#
# LINE ORDER IS SIGNIFICANT — DO NOT SORT THIS FILE.  The groups containing any
# given word appear in that word's own WordNet sense order, commonest sense
# first, so a consumer can walk them most-likely-meaning first and stop after
# three or four dictionary matches.  Sorting the file alphabetically destroys
# that signal silently.  Member order within a line is significant too: verbs
# the corpus actually uses come first, commonest first.
#
# Built with: sense-cap 6 band-cap 16 group-cap 12 hyponym-cap 25 gap-fill true
# From 9893 harvested IF spellings, 2078 of which WordNet knows as verbs.
# 2758 groups, 9735 memberships.
accuse	impeach	incriminate
admire	look up to
advise	counsel
agitate	foment	stir up
ask	inquire	enquire
ask for	invite
attend	go to
attend to	take to heart
bail out	bale out
bake	broil
banish	cast out	ban	ostracize	shun
banquet	feast
bargain	dicker
bat	flutter
bathe	bath
batter	buffet	knock about
baste	batter	clobber
battle	combat
beat about	cast about	cast around
behead	decapitate
bellow	bawl
belt	belt out
black	blacken
blast	blare
body	personify
bog	bog down
bow	bow down
brace	nerve	poise	steel
break off	break short	cut short
breathe	take a breath
bridge	bridge over
buckle	clasp
bug	tease	badger	beleaguer	pester
bur	burr
burn up	blaze up	flame up	flare
burrow	tunnel
bury	inter	lay to rest
buy	purchase
buy	bribe	corrupt
call for	request	demand	quest
care	fuss	give care	mother
carve	chip at
carve	cut up
cash	cash in
challenge	dispute
chant	intone	tone
char	coal
check in	sign in
chirp	peep
chomp	champ
chop	chop up
chop	hack
clean	make clean
clear off	clear away
click	tick
click	chatter
cloak	mask
close	shut
cloud	overcast
cloud	fog	haze over	mist	obscure
cock	prance	ruffle	strut	swagger
come	come up
come around	come round
come around	roll around
comfort	console	soothe	solace
comfort	ease
command	general
command	officer
consult	confer with
copy	imitate	model	pattern	simulate
copy	replicate
cork	cork up
cover	bloody	spread over
crack down	clamp down
crank	zigzag
crank	crank up
create	develop
creep	sneak	mouse
crawl	grovel	creep	cower	cringe	fawn
creep in	sneak in
creep up	sneak up
crow	gloat	triumph
crunch	crackle
cuddle	nuzzle	draw close	nest	nestle	snuggle
cuff	handcuff
curdle	clot
curse	swear	cuss
dam	dam up
damn	curse
dance	trip the light fantastic	trip the light fantastic toe
date	date stamp
declaim	recite
